Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,16546,16866,16546,16865,16865,105050000
2016-03-02,16851,16900,16766,16899,16899,104470000
2016-03-03,16896,16944,16821,16944,16944,91110000
2016-03-04,16945,17062,16899,17007,17007,106910000
2016-03-07,16991,17099,16940,17074,17074,100290000
2016-03-08,17051,17073,16922,16964,16964,108380000
2016-03-09,16969,17049,16948,17000,17000,116690000
2016-03-10,17006,17130,16822,16995,16995,117570000
2016-03-11,17015,17220,17015,17213,17213,123420000
2016-03-14,17207,17275,17161,17229,17229,96350000
2016-03-15,17217,17252,17120,17252,17252,92830000
2016-03-16,17249,17379,17204,17326,17326,118710000
2016-03-17,17321,17529,17298,17481,17481,117990000
2016-03-18,17481,17621,17481,17602,17602,321230000
2016-03-21,17590,17645,17551,17624,17624,84410000
2016-03-22,17603,17649,17540,17583,17583,95450000
2016-03-23,17589,17589,17486,17503,17503,84240000
2016-03-24,17485,17517,17399,17516,17516,84100000
2016-03-28,17526,17584,17493,17535,17535,70460000
2016-03-29,17513,17643,17434,17633,17633,86160000
2016-03-30,17652,17790,17652,17717,17717,79330000
2016-03-31,17716,17756,17670,17685,17685,102600000
2016-04-01,17662,17811,17568,17793,17793,104890000
2016-04-04,17799,17806,17711,17737,17737,85230000
2016-04-05,17718,17718,17580,17603,17603,115230000
2016-04-06,17605,17724,17543,17716,17716,99410000
2016-04-07,17687,17687,17484,17542,17542,90120000
2016-04-08,17555,17695,17528,17577,17577,79990000
2016-04-11,17586,17732,17556,17556,17556,107100000
2016-04-12,17571,17744,17554,17721,17721,81020000
2016-04-13,17742,17918,17742,17908,17908,91710000
2016-04-14,17912,17962,17885,17926,17926,84510000
2016-04-15,17926,17938,17867,17897,17897,118160000
2016-04-18,17890,18010,17848,18004,18004,89390000
2016-04-19,18012,18103,17984,18054,18054,89820000
2016-04-20,18059,18168,18031,18096,18096,100210000
2016-04-21,18093,18107,17964,17983,17983,102720000
2016-04-22,17985,18027,17910,18004,18004,134120000
2016-04-25,17991,17991,17856,17977,17977,83770000
2016-04-26,17987,18044,17934,17990,17990,92570000
2016-04-27,17996,18085,17920,18042,18042,109090000
2016-04-28,18024,18036,17797,17831,17831,100920000
2016-04-29,17813,17815,17652,17774,17774,136670000
2016-05-02,17784,17912,17774,17891,17891,80100000
2016-05-03,17871,17871,17671,17751,17751,97060000
2016-05-04,17735,17738,17609,17651,17651,95020000
2016-05-05,17664,17736,17616,17661,17661,81530000
2016-05-06,17650,17745,17580,17741,17741,80020000
2016-05-09,17744,17783,17668,17706,17706,85590000
2016-05-10,17727,17935,17727,17928,17928,75790000
2016-05-11,17919,17919,17711,17711,17711,87390000
2016-05-12,17711,17798,17625,17721,17721,88560000
2016-05-13,17711,17735,17512,17535,17535,86640000
2016-05-16,17532,17756,17532,17711,17711,88440000
2016-05-17,17701,17701,17470,17530,17530,103260000
2016-05-18,17501,17636,17418,17527,17527,79120000
2016-05-19,17514,17514,17331,17435,17435,95530000
2016-05-20,17437,17572,17437,17501,17501,111990000
2016-05-23,17507,17551,17480,17493,17493,87790000
2016-05-24,17525,17743,17525,17706,17706,86480000
2016-05-25,17735,17892,17735,17852,17852,79180000
2016-05-26,17860,17889,17804,17828,17828,68940000
2016-05-27,17827,17873,17825,17873,17873,73190000
2016-05-31,17892,17899,17724,17787,17787,147390000
2016-06-01,17755,17809,17665,17790,17790,78530000
2016-06-02,17789,17839,17704,17839,17839,75560000
2016-06-03,17800,17833,17690,17807,17807,82270000
2016-06-06,17826,17950,17823,17920,17920,71870000
2016-06-07,17936,18003,17936,17938,17938,78750000
2016-06-08,17932,18016,17932,18005,18005,71260000
2016-06-09,17970,18005,17916,17985,17985,69690000
2016-06-10,17939,17939,17812,17865,17865,90540000
2016-06-13,17831,17893,17731,17732,17732,101690000
2016-06-14,17711,17734,17596,17675,17675,93740000
2016-06-15,17704,17763,17629,17640,17640,94130000
2016-06-16,17602,17755,17471,17733,17733,91950000
2016-06-17,17733,17733,17603,17675,17675,248680000
